subject,session,camera_key,camera_label,status,error,video_path,timestamp_path,bvp_path,gt_proxy_dir,live_run_dir,eval_bundle_dir,live_summary_path,evaluate_summary_path,n,mae_bpm,rmse_bpm,psd_corr_mean,psd_mse_mean,capture_snr_mean,ipr_mean,wave_corr0_mean,wave_corr_lag_mean,acf_corr_mean,p5_percent,p10_percent,pearson_hr,n_eval_clips
Karen,v01,android_311YJP3P3080D200020,android_311YJP3P3080D200020,ok,,/home/vt_ai_test1/KarenHE/contrast-phys/RPPG_data_benny_eric/Recorded_3 Cameras/Karen/v01/android_311YJP3P3080D200020_2026-03-25_12-45.avi,/home/vt_ai_test1/KarenHE/contrast-phys/RPPG_data_benny_eric/Recorded_3 Cameras/Karen/v01/android_311YJP3P3080D200020_frames_timestamp.csv,/home/vt_ai_test1/KarenHE/contrast-phys/RPPG_data_benny_eric/Recorded_3 Cameras/Karen/v01/BVP.csv,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/gt_proxy/Karen/v01/android_311YJP3P3080D200020,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/android_311YJP3P3080D200020/live_runs/dry_run,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/android_311YJP3P3080D200020/live_runs/dry_run/eval_bundle_t10s,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/android_311YJP3P3080D200020/live_runs/dry_run/summary.txt,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/android_311YJP3P3080D200020/live_runs/dry_run/eval_bundle_t10s/eval/summary.txt,,,,,,,,,,,,,,
Karen,v01,android_RFCN3050F7T,android_RFCN3050F7T,ok,,/home/vt_ai_test1/KarenHE/contrast-phys/RPPG_data_benny_eric/Recorded_3 Cameras/Karen/v01/android_RFCN3050F7T_2026-03-25_12-45.avi,/home/vt_ai_test1/KarenHE/contrast-phys/RPPG_data_benny_eric/Recorded_3 Cameras/Karen/v01/android_RFCN3050F7T_frames_timestamp.csv,/home/vt_ai_test1/KarenHE/contrast-phys/RPPG_data_benny_eric/Recorded_3 Cameras/Karen/v01/BVP.csv,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/gt_proxy/Karen/v01/android_RFCN3050F7T,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/android_RFCN3050F7T/live_runs/dry_run,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/android_RFCN3050F7T/live_runs/dry_run/eval_bundle_t10s,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/android_RFCN3050F7T/live_runs/dry_run/summary.txt,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/android_RFCN3050F7T/live_runs/dry_run/eval_bundle_t10s/eval/summary.txt,,,,,,,,,,,,,,
Karen,v01,video_RAW_YUV420,video_RAW_YUV420,ok,,/home/vt_ai_test1/KarenHE/contrast-phys/RPPG_data_benny_eric/Recorded_3 Cameras/Karen/v01/video_RAW_YUV420.avi,/home/vt_ai_test1/KarenHE/contrast-phys/RPPG_data_benny_eric/Recorded_3 Cameras/Karen/v01/frames_timestamp.csv,/home/vt_ai_test1/KarenHE/contrast-phys/RPPG_data_benny_eric/Recorded_3 Cameras/Karen/v01/BVP.csv,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/gt_proxy/Karen/v01/video_RAW_YUV420,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/video_RAW_YUV420/live_runs/dry_run,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/video_RAW_YUV420/live_runs/dry_run/eval_bundle_t10s,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/video_RAW_YUV420/live_runs/dry_run/summary.txt,/home/vt_ai_test1/KarenHE/contrast-phys/contrast-phys+/EfficientPhysNet/results/EfficientPhysNet/label_ratio_0/camera_compare/20260402_082257/per_camera/Karen/v01/video_RAW_YUV420/live_runs/dry_run/eval_bundle_t10s/eval/summary.txt,,,,,,,,,,,,,,
